"","common","sciname"
"1","acadian redfish","Sebastes fasciatus"
"2","alewife","Alosa pseudoharengus"
"3","american lobster","Homarus americanus"
"4","american plaice","Hippoglossoides platessoides"
"5","american shad","Alosa sapidissima"
"6","arctic tern","Sterna paradisaea"
"7","atlantic spotted dolphin","Stenella frontalis"
"8","atlantic white sided dolphin","Lagenorhynchus acutus"
"9","atlantic cod","Gadus morhua"
"10","atlantic croaker","Micropogonias undulatus"
"11","atlantic halibut","Hippoglossus hippoglossus"
"12","atlantic herring","Clupea harengus"
"13","atlantic mackerel","Scomber scombrus"
"14","atlantic menhaden","Brevoortia tyrannus"
"15","atlantic puffin","Fratercula arctica"
"16","atlantic sharpnose shark","Rhizoprionodon terraenovae"
"17","atlantic sturgeon","Acipenser oxyrinchus"
"18","atlantic torpedo","Torpedo nobiliana"
"19","atlantic wolffish","Anarhichas lupus"
"20","audubons shearwater","Puffinus lherminieri"
"21","band rumped storm petrel","Oceanodroma castro"
"22","banded drum","Larimus fasciatus"
"23","barndoor skate","Dipturus laevis"
"24","bay anchovy","Anchoa mitchilli"
"25","black capped petrel","Pterodroma hasitata"
"26","black guillemot","Cepphus grylle"
"27","black legged kittiwake","Rissa tridactyla"
"28","black scoter","Melanitta americana"
"29","black sea bass","Centropristis striata"
"30","blackbelly rosefish","Helicolenus dactylopterus"
"31","blainvilles beaked whale","Mesoplodon densirostris"
"32","blueback herring","Alosa aestivalis"
"33","bluefish","Pomatomus saltatrix"
"34","bluntnose stingray","Dasyatis say"
"35","bonapartes gull","Chroicocephalus philadelphia"
"36","bottlenose dolphin","Tursiops truncatus"
"37","bridled tern","Onychoprion anaethetus"
"38","brown pelican","Pelecanus occidentalis"
"39","bullnose ray","Myliobatis freminvillii"
"40","butterfish","Peprilus triacanthus"
"41","clearnose skate","Raja eglanteria"
"42","common eider","Somateria mollissima"
"43","common loon","Gavia immer"
"44","common murre","Uria aalge"
"45","common tern","Sterna hirundo"
"46","corys shearwater","Calonectris borealis"
"47","cunner","Tautogolabrus adspersus"
"48","cusk","Brosme brosme"
"49","cuviers beaked whale","Ziphius cavirostris"
"50","double crested cormorant","Phalacrocorax auritus"
"51","dovekie","Alle alle"
"52","fin whale","Balaenoptera physalus"
"53","fourspot flounder","Hippoglossina oblonga"
"54","gervais beaked whale","Mesoplodon europaeus"
"55","goosefish","Lophius americanus"
"56","great black backed gull","Larus marinus"
"57","great shearwater","Ardenna gravis"
"58","great skua","Stercorarius skua"
"59","gulf stream flounder","Citharichthys arctifrons"
"60","haddock","Melanogrammus aeglefinus"
"61","harbor porpoise","Phocoena phocoena"
"62","herring gull","Larus smithsonianus"
"63","hickory shad","Alosa mediocris"
"64","horned grebe","Podiceps auritus"
"65","horseshoe crab","Limulus polyphemus"
"66","humpback whale","Megaptera novaeangliae"
"67","jonah crab","Cancer borealis"
"68","laughing gull","Leucophaeus atricilla"
"69","leachs storm petrel","Oceanodroma leucorhoa"
"70","least tern","Sternula antillarum"
"71","little skate","Leucoraja erinacea"
"72","long finned pilot whale","Globicephala melas"
"73","long tailed duck","Clangula hyemalis"
"74","longfin squid","Doryteuthis pealeii"
"75","longhorn sculpin","Myoxocephalus octodecemspinosus"
"76","manx shearwater","Puffinus puffinus"
"77","minke whale","Balaenoptera acutorostrata"
"78","north atlantic right whale","Eubalaena glacialis"
"79","northern fulmar","Fulmarus glacialis"
"80","northern gannet","Morus bassanus"
"81","northern kingfish","Menticirrhus saxatilis"
"82","northern pipefish","Syngnathus fuscus"
"83","northern puffer","Sphoeroides maculatus"
"84","northern sand lance","Ammodytes dubius"
"85","northern searobin","Prionotus carolinus"
"86","northern shortfin squid","Illex illecebrosus"
"87","northern shrimp","Pandalus borealis"
"88","ocean pout","Zoarces americanus"
"89","parasitic jaeger","Stercorarius parasiticus"
"90","pigfish","Orthopristis chrysoptera"
"91","pinfish","Lagodon rhomboides"
"92","pollock","Pollachius virens"
"93","pomarine jaeger","Stercorarius pomarinus"
"94","razorbill","Alca torda"
"95","red breasted merganser","Mergus serrator"
"96","red hake","Urophycis chuss"
"97","red necked phalarope","Phalaropus lobatus"
