Year,Region,Species,Whole Pounds
1988,Maine,Atlantic Salmon,1000000
1989,Maine,Atlantic Salmon,2000000
1990,Maine,Atlantic Salmon,5000000
1991,Maine,Atlantic Salmon,10032655
1992,Maine,Atlantic Salmon,12869732
1993,Maine,Atlantic Salmon,14740106
1994,Maine,Atlantic Salmon,13511472
1995,Maine,Atlantic Salmon,22000651
1996,Maine,Atlantic Salmon,22020910
1997,Maine,Atlantic Salmon,26706548
1998,Maine,Atlantic Salmon,28965124
1999,Maine,Atlantic Salmon,26826457
2000,Maine,Atlantic Salmon,36049476
2001,Maine,Atlantic Salmon,29105536
2002,Maine,Atlantic Salmon,14987837
2003,Maine,Atlantic Salmon,13243419
2004,Maine,Atlantic Salmon,18773038
2005,Maine,Atlantic Salmon,11602436
2006,Maine,Atlantic Salmon,10303944
2007,Maine,Atlantic Salmon,8562277
2008,Maine,Atlantic Salmon,19873323
2009,Maine,Atlantic Salmon,13559471
2010,Maine,Atlantic Salmon,24530940
1991,Maine,Trout,"341,930"
1992,Maine,Trout,"619,464"
1993,Maine,Trout,"741,742"
1994,Maine,Trout,"586,060"
1995,Maine,Trout,"249,025"
1996,Maine,Trout,"72,626"
1997,Maine,Trout,"258,295"
1998,Maine,Trout,"184,177"
1999,Maine,Trout,"171,945.70"
2000,Maine,Trout,"240,678"
2001,Maine,Trout,0
2002,Maine,Trout,0
2003,Maine,Trout,0
2004,Maine,Trout,0
2005,Maine,Trout,0
2006,Maine,Trout,0
2007,Maine,Trout,0
2008,Maine,Trout,0
2009,Maine,Trout,0
2010,Maine,Trout,0
